title;description;url;image;app
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/mzmaze2025/To-Do-Web-App;1.png;https://npmkrbezzaaymmeyappxmzw.streamlit.app/
Book Lending App;A desktop PyQT6 GUI app so that you can keep track of your books: it keeps record of your borrowed and returned books.;https://github.com/mzmaze2025/Book-Lending-App;21.png;https://drive.google.com/file/d/1zXyBJzJlzxPq-RjVA6z6tRqnCfFC1yjV/view?usp=sharing
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/mzmaze2025/Portfolio-Site.git;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/mzmaze2025/PDF-Template-Creator.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/mzmaze2025/Invoice-Generator-from-XLS-to-PDF.git;4.png
Topical News Site;A program that gets data from a news API and sends email when there is an update on a certain topic.;https://github.com/mzmaze2025/News-API/blob/main/main.py;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/mzmaze2025/Weather-API;6.png
Book Analyzer;A script that analyzes a text file: finding the most common words and most positive and negative chapters.;https://github.com/mzmaze2025/Book-Analyzer;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/mzmaze2025/Tours-Data-Scraper;8.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/mzmaze2025/Webcam-Motion-Detector;11.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/mzmaze2025/VIsualizing-Weather-Forecast;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/mzmaze2025/Student-Management-System-GUI;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/mzmaze2025/Student-Database-Management-with-MySQL;18.png
